picture.no,hue,sat,bright,SDhue,SDsat,SDbright,ED,PE
4372,0.329375987,0.136722146,0.607868307,0.645757251,0.15083429,0.303288816,0.087607504,6.626376342
4375,2.794342474,0.286194583,0.53975812,1.117455058,0.120913389,0.332990182,0.12426979,7.649222091
4383,0.839637693,0.499250529,0.629253761,0.458111648,0.287231278,0.230214603,0.146923065,6.603373838
4397,2.044003803,0.493118488,0.632328399,0.995912539,0.217107527,0.301657195,0.145377078,7.723186756
4398,0.862099717,0.206389887,0.500213241,1.093352407,0.219756636,0.209318302,0.153549445,7.710819742
4482,2.499629284,0.45853249,0.567168954,1.334170953,0.163293372,0.264939091,0.0889,7.55582066
4495,3.070459432,0.313369904,0.523250773,1.660553615,0.193625223,0.285387506,0.095909626,7.324190803
4502,0.126689055,0.091595108,0.568654992,1.221020582,0.093767605,0.224531099,0.10539888,6.927406052
4504,1.660325955,0.47725988,0.504270181,0.767389751,0.298007249,0.265510282,0.127925002,7.460119721
4506,-0.123408697,0.166324973,0.586937377,1.114077335,0.068653736,0.186721198,0.107050771,7.325491119
4518,0.95580516,0.259519594,0.523038523,1.20169462,0.16777406,0.290243232,0.121443685,7.739819957
4523,2.651405855,0.198961103,0.507394044,1.044388016,0.141093888,0.228206629,0.049163253,7.482856971
4541,0.295192773,0.188280406,0.575005311,0.764003593,0.101049074,0.257162409,0.151356309,7.452828103
4561,1.78626525,0.38471056,0.597865519,1.337852148,0.262812396,0.255555017,0.101335316,7.108481649
4569,1.498640784,0.317264601,0.619693484,1.485867444,0.238672253,0.164697101,0.099939276,7.390735127
4577,1.564677182,0.427589943,0.516722981,0.863357648,0.254341128,0.26257304,0.164257349,7.436813187
4578,1.161634784,0.385218566,0.544688771,1.27420786,0.293122626,0.266948902,0.085820198,7.580035121
4605,2.194385044,0.173643232,0.434220732,1.922984943,0.175657383,0.166425691,0.122859231,7.405204639
4608,-0.640799069,0.126538092,0.54083786,1.177929458,0.142588177,0.246023248,0.081007004,6.155226603
4642,0.228418564,0.507068305,0.731101603,2.38922502,0.177998925,0.175284472,0.103743219,7.126363911
4650,0.190494305,0.360115256,0.649807402,1.12959948,0.136551656,0.23301001,0.117815625,7.443294044
4687,-2.737354146,0.186518097,0.552263572,1.220697931,0.130197158,0.334859948,0.0875295,7.341087213
4804,3.07703442,0.147678862,0.60513134,1.469287321,0.152599573,0.26402323,0.061906502,7.665159124
4813,-2.819059388,0.157852502,0.512464875,3.036211955,0.176352728,0.278737957,0.089998349,7.647459367
4888,-0.362390401,0.138827813,0.53260677,1.45276021,0.115896523,0.227071014,0.084954909,7.706131633
4897,2.506047947,0.243163524,0.752702405,1.844447962,0.104814308,0.148427535,0.097650295,6.5408212
4911,-0.402370029,0.22851478,0.511106281,1.772797244,0.173988078,0.271023234,0.13058665,7.893622318
4914,0.826689581,0.293908356,0.584545589,1.179332126,0.220763918,0.259303214,0.140298843,7.784080502
4918,0.531389933,0.383145869,0.60372303,0.726630668,0.234364778,0.232090225,0.140813828,7.759131482
4961,-2.887089718,0.172317048,0.600679624,1.330204658,0.069964914,0.186492939,0.097601042,7.071575561
4966,0.493506434,0.197783336,0.598498236,1.740389648,0.173269173,0.27868339,0.090649115,7.357998404
4971,-0.653980798,0.105687135,0.669416034,0.874503251,0.08131845,0.339980992,0.042130006,7.179959021
4980,0.956282607,0.151662194,0.404628195,1.22749359,0.141314421,0.23318239,0.070729167,6.887999052
4982,0.197587252,0.404773361,0.4764826,1.974646721,0.306477686,0.265407592,0.077928384,6.726933736
4983,1.563444831,0.239782065,0.577323983,1.001152045,0.064677877,0.186935489,0.134442139,6.487160546
4986,2.778326233,0.341975208,0.628569537,1.219225975,0.101099757,0.189735863,0.106664063,6.614720403
4987,1.753627566,0.334793753,0.66032858,1.016242869,0.131738208,0.255807839,0.137786328,7.60676162
4988,2.263355867,0.429945562,0.539407097,1.407260457,0.196090741,0.292177814,0.132057329,7.581349105
4990,1.83394341,0.392433717,0.615994263,1.588663323,0.159180513,0.282531652,0.113148689,7.77366604
4991,3.039851571,0.336127258,0.613077855,1.543653334,0.227011197,0.25418936,0.068570663,7.513137595
4999,1.725137671,0.245229243,0.500485658,1.039377323,0.119023125,0.228958516,0.12283198,7.243862666
5002,0.766310751,0.395097351,0.433590902,0.627579215,0.264558214,0.2190959,0.139828799,6.918514025
5005,2.373558286,0.286064058,0.645716052,1.48016982,0.226862935,0.274604417,0.101862934,7.81379894
5012,1.699906722,0.260538954,0.624169906,1.574956809,0.119412751,0.284552147,0.113874479,7.400447691
5016,1.856371262,0.40800403,0.586574671,1.407047685,0.302783845,0.251729401,0.114009028,7.721598351
5017,2.281533128,0.283141415,0.586071181,1.411701262,0.113022928,0.199838917,0.093904622,6.497047856
5045,1.175798203,0.212039833,0.572738483,1.243369856,0.206959767,0.211901883,0.122472763,7.43629457
