"","picture.ID","naturalness","fascination","coherence","scope","being_away"
"46",1465,6.23076923076923,3.84615384615385,4.46153846153846,5.26666666666667,5.5
"47",1469,5.38461538461539,4.83333333333333,3.76923076923077,5.15384615384615,4.53846153846154
"48",1470,6,4.41666666666667,3.66666666666667,5.5,4.58333333333333
"49",1472,6.41666666666667,5.58333333333333,4.5,5.08333333333333,5.41666666666667
"50",1549,3.14285714285714,5.125,4.33333333333333,4.7,4.44444444444444
"51",1555,4.92307692307692,3.66666666666667,4.15384615384615,4.93333333333333,4.25
"52",1560,4.57142857142857,5.375,5.16666666666667,4.3,5.77777777777778
"53",1626,3.76923076923077,5.41666666666667,4.69230769230769,5.53846153846154,4.23076923076923
"54",1810,5,4.92307692307692,4.76923076923077,4.14285714285714,5
"55",1856,5.38461538461539,4.46153846153846,5.92307692307692,5.4,5.58333333333333
"56",1874,2.91666666666667,4.66666666666667,4.66666666666667,3.91666666666667,3.5
"57",1887,4.15384615384615,5.30769230769231,5.84615384615385,4.23076923076923,4.38461538461539
"58",1889,4.41666666666667,4.58333333333333,4.58333333333333,5.25,4.91666666666667
"59",1895,4.58333333333333,5.75,5.5,4.58333333333333,5.16666666666667
"60",1904,6.07692307692308,4.23076923076923,3.30769230769231,5.92307692307692,5.46153846153846
"61",1912,6.41666666666667,4.5,3.66666666666667,4.66666666666667,4.25
"62",1914,5.84615384615385,5.23076923076923,2.84615384615385,6.23076923076923,5.53846153846154
"63",1962,6.07692307692308,5.38461538461539,4.46153846153846,6,5.61538461538461
"64",1978,5.69230769230769,5.92307692307692,4.38461538461539,5.07692307692308,5.61538461538461
"65",2084,2.5,4.08333333333333,5,3.5,3
"66",2114,4.14285714285714,4.75,2.83333333333333,4.8,4.77777777777778
"67",2115,4.33333333333333,4.16666666666667,3.33333333333333,5.58333333333333,2.83333333333333
"68",2218,2.33333333333333,5.54545454545455,5.66666666666667,3.75,3.08333333333333
"69",2242,2.42857142857143,3.5,4.83333333333333,3.3,2.66666666666667
"70",2243,2.07692307692308,2.07692307692308,6.15384615384615,2.53333333333333,2.25
"71",2245,2.23076923076923,2.84615384615385,6.30769230769231,2.46153846153846,1.92307692307692
"72",2250,2.54545454545455,4.41666666666667,6.16666666666667,3.75,2.41666666666667
"73",2251,2.66666666666667,3.75,5.75,3.91666666666667,3.41666666666667
"74",2257,3.16666666666667,3.33333333333333,4.5,3.66666666666667,2.58333333333333
"75",2341,6.61538461538461,5.46153846153846,4.46153846153846,6.38461538461539,5.46153846153846
"76",2348,5.91666666666667,5,3.41666666666667,5.33333333333333,4.91666666666667
"77",2354,6.5,5.46153846153846,3.07692307692308,6.07692307692308,5.23076923076923
"78",2378,4.5,4.41666666666667,4.75,3.25,3.91666666666667
"79",2385,3.14285714285714,3.5,4.83333333333333,4.6,3.55555555555556
"80",2392,4.53846153846154,3.76923076923077,5.53846153846154,5,4.08333333333333
"81",2398,5,4.46153846153846,4.46153846153846,3.69230769230769,5
"82",2445,5.91666666666667,4.83333333333333,3.83333333333333,4.75,4.41666666666667
"83",2458,5.83333333333333,5.66666666666667,4.91666666666667,5,5.75
"84",2468,2.61538461538462,4.15384615384615,5.53846153846154,4.30769230769231,2.92307692307692
"85",2469,3.66666666666667,5.16666666666667,5.66666666666667,5.08333333333333,3.75
"86",2471,3.30769230769231,4.38461538461539,5.84615384615385,5.53846153846154,3.76923076923077
"87",2478,3.58333333333333,5.66666666666667,5.75,4.16666666666667,4.41666666666667
"88",2479,3.41666666666667,5.33333333333333,5.83333333333333,5.41666666666667,3.66666666666667
"89",2480,2.41666666666667,4.75,6.08333333333333,3.91666666666667,3.25
"90",2481,4.25,3.5,4.66666666666667,5.08333333333333,3
"91",2486,4.5,4.66666666666667,5.41666666666667,4.83333333333333,4.33333333333333
"92",2493,5,5,5,5.15384615384615,4.76923076923077
"93",2630,2.92307692307692,5.69230769230769,5.46153846153846,4.61538461538461,4.84615384615385
"94",2708,2.66666666666667,4.66666666666667,5.33333333333333,3.91666666666667,3.16666666666667
